%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580572467079326789,972,1580572466318869729,,0,1,42.350586666666665,-71.08016533333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572468109382712,973,1580572467329701774,,0,1,42.350568,-71.08015466666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572469089297263,974,1580572468338907186,,0,1,42.35056266666667,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572470079552565,975,1580572469350889933,,0,1,42.350557333333334,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572471109289559,976,1580572470369013493,,0,1,42.350557333333334,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572472089390427,977,1580572471378838962,,0,1,42.350557333333334,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572473079201674,978,1580572472390054607,,0,1,42.350557333333334,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572474109707292,979,1580572473398793366,,0,1,42.350557333333334,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572475090031624,980,1580572474410221975,,0,1,42.350557333333334,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572476069320291,981,1580572475418796328,,0,1,42.350557333333334,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572477109491573,982,1580572476428980259,,0,1,42.350557333333334,-71.08014933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
